org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReload();totalFailures;B4;2/4
org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReload();totalFailures;B5;2/3

org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReloadMultipleClients();totalFailures;B5;2/3
org.apache.commons.configuration2.TestDynamicCombinedConfiguration::testConcurrentGetAndReloadMultipleClients();totalFailures;B4;2/4

org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilderFileBased::testConcurrentGetAndReload();totalFailures;B4;2/4
org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilderFileBased::testConcurrentGetAndReload();totalFailures;B5;2/3

org.apache.commons.configuration2.TestEnvironmentConfiguration::testInit();found;B1;2/4
org.apache.commons.configuration2.TestEnvironmentConfiguration::testInit();found;B2;2/3

org.apache.commons.configuration2.TestConfigurationSet::testIterator();found;B4;3/4
org.apache.commons.configuration2.TestConfigurationSet::testIterator();found;B5;1/2

org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration::testClearTreeComplex();found;B4;6/8
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration::testClearTreeComplex();found;B8;1/2
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration::testClearTreeComplex();found;B5;6/7

org.apache.commons.configuration2.XMLConfiguration::constructHierarchy(Builder,MutableObject<String>,Element,Map<ImmutableNode, Object>,boolean,int);hasChildren;B1;5/7
org.apache.commons.configuration2.XMLConfiguration::constructHierarchy(Builder,MutableObject<String>,Element,Map<ImmutableNode, Object>,boolean,int);hasChildren;B2;4/5
org.apache.commons.configuration2.XMLConfiguration::constructHierarchy(Builder,MutableObject<String>,Element,Map<ImmutableNode, Object>,boolean,int);hasChildren;B3;2/3

org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B12;5/6
org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B18;2/3
org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B20;1/2
org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B10;6/7
org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B16;3/4
org.apache.commons.configuration2.PropertiesConfiguration::unescapeJava(String,boolean);inUnicode;B14;4/5

