GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math3.analysis.function,Cos,4,9,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Log,4,9,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Sinc,6,353,2,24,1,50,3,15,1,4
Commons Math,org.apache.commons.math3.analysis.function,Sinh,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.analysis.function,Pow,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.function,Inverse,4,10,0,0,1,3,1,3,1,3
Commons Math,org.apache.commons.math3.analysis.function,Cbrt,7,6,0,0,2,2,2,2,2,2
Commons Math,org.apache.commons.math3.dfp,DfpField,46,743,8,38,12,155,19,44,11,29
Commons Math,org.apache.commons.math3.dfp,Dfp,378,5222,84,694,87,1011,85,424,5,108
Commons Math,org.apache.commons.math3.dfp,DfpDec,125,563,12,100,25,109,22,56,10,9
Commons Math,org.apache.commons.math3.dfp,DfpField.RoundingMode,0,84,0,0,0,9,0,1,0,1
Commons Math,org.apache.commons.math3.dfp,DfpMath,180,1693,41,153,34,341,30,87,1,19
Commons Math,org.apache.commons.math3.dfp,BracketingNthOrderBrentSolverDFP,66,543,7,59,13,116,9,36,3,7
Commons Math,org.apache.commons.math3.stat.descriptive.rank,Percentile,64,488,8,60,16,111,10,41,3,14
Commons Math,org.apache.commons.math3.stat.descriptive.rank,Median,4,4,0,0,2,2,1,1,1,1
Commons Math,org.apache.commons.math3.stat.descriptive.rank,Min,6,107,0,12,3,29,1,14,1,8
Commons Math,org.apache.commons.math3.stat.descriptive.rank,Max,6,107,0,12,3,29,1,14,1,8
Commons Math,org.apache.commons.math3.ode,MultistepIntegrator.InitializationCompletedMarkerException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math3.ode,ExpandableStatefulODE.SecondaryComponent,0,24,0,0,0,7,0,1,0,1
Commons Math,org.apache.commons.math3.ode,ExpandableStatefulODE,57,289,4,14,7,58,6,20,2,15
Commons Math,org.apache.commons.math3.ode,JacobianMatrices,44,358,9,25,9,69,9,19,0,11
Commons Math,org.apache.commons.math3.ode,UnknownParameterException,12,0,0,0,4,0,2,0,2,0
Commons Math,org.apache.commons.math3.ode,MultistepIntegrator.NordsieckInitializer,54,220,2,8,6,36,2,6,0,3
Commons Math,org.apache.commons.math3.ode,AbstractIntegrator,25,572,3,57,5,130,5,49,2,22
Commons Math,org.apache.commons.math3.ode,JacobianMatrices.MismatchedEquations,6,0,0,0,2,0,1,0,1,0
Commons Math,org.apache.commons.math3.ode,ContinuousOutputModel,13,529,3,45,2,109,4,31,1,10
Commons Math,org.apache.commons.math3.ode,FirstOrderConverter,0,75,0,0,0,14,0,3,0,3
Commons Math,org.apache.commons.math3.ode,ParameterConfiguration,0,19,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math3.ode,AbstractParameterizable,23,52,2,6,7,11,4,5,2,3
Commons Math,org.apache.commons.math3.ode,ParameterizedWrapper,35,0,2,0,12,0,8,0,7,0
Commons Math,org.apache.commons.math3.ode,MultistepIntegrator,49,139,2,2,11,32,7,7,5,7
Commons Math,org.apache.commons.math3.ode,AbstractIntegrator.new Comparator() {...},0,18,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.ode,JacobianMatrices.JacobiansSecondaryEquations,9,252,5,21,1,39,5,11,0,3
Commons Math,org.apache.commons.math3.ode,MultistepIntegrator.new FirstOrderDifferentialEquations() {...},19,0,0,0,4,0,3,0,3,0
Commons Math,org.apache.commons.math3.ode,JacobianMatrices.MainStateJacobianWrapper,8,90,1,5,1,18,1,6,0,4
Commons Math,org.apache.commons.math3.ode,EquationsMapper,16,43,2,2,2,12,2,5,0,5
Commons Math,org.apache.commons.math3.ode,ParameterJacobianWrapper,9,113,2,6,2,22,3,5,1,3
Commons Math,org.apache.commons.math3.transform,FastFourierTransformer.MultiDimensionalComplexMatrix,46,258,8,22,8,53,6,16,0,7
Commons Math,org.apache.commons.math3.transform,FastFourierTransformer,30,1379,9,54,4,169,9,33,0,10
Commons Math,org.apache.commons.math3.transform,TransformUtils,35,254,4,10,7,24,4,9,1,5
Commons Math,org.apache.commons.math3.transform,FastCosineTransformer,0,303,0,14,0,44,0,11,0,4
Commons Math,org.apache.commons.math3.transform,DstNormalization,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.transform,TransformType,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.transform,DctNormalization,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.transform,DftNormalization,0,24,0,0,0,3,0,1,0,1
Commons Math,org.apache.commons.math3.transform,FastHadamardTransformer,21,208,1,17,3,39,2,13,1,5
Commons Math,org.apache.commons.math3.transform,FastSineTransformer,0,247,0,14,0,40,0,11,0,4
Commons Math,org.apache.commons.math3.analysis.interpolation,UnivariatePeriodicInterpolator.new UnivariateFunction() {...},0,23,0,0,0,2,0,2,0,2
