Class Name,Line Coverage,Branch Coverage,Mutation Score
LUDecomposition,100,,98
LutherFieldIntegrator,100,,100
LutherFieldStepInterpolator,100,,60
LutherStepInterpolator,100,,96
ManhattanDistance,100,,100
MapUtils,28,,18
MathArrays,92,,85
MathIllegalNumberException,100,,100
MathInternalError,0,,0
MathParseException,50,,0
MathRuntimeException,64,,80
MathUtils,84,,64
MatrixDimensionMismatchException,100,,100
MatrixUtils,81,,86
Max,100,,100
Max,90,,80
MaxCountExceededException,100,,100
MaxEval,71,,50
MaxIter,71,,50
Mean,91,,73
Median,67,,67
MedianOf3PivotingStrategy,100,,100
MicrosphereProjectionInterpolator,83,,80
MidpointFieldIntegrator,100,,100
MidpointFieldStepInterpolator,100,,80
MidPointIntegrator,91,,79
MidpointStepInterpolator,100,,97
MillerUpdatingRegression,83,,73
Min,100,,100
Min,90,,80
Minus,100,,100
MixtureMultivariateNormalDistribution,100,,100
MixtureMultivariateRealDistribution,56,,61
MullerSolver,93,,60
MullerSolver2,89,,74
MultiDimensionMismatchException,60,,50
MultiDirectionalSimplex,96,,94
MultiKMeansPlusPlusClusterer,84,,50
Multiply,100,,100
MultiStartMultivariateOptimizer,100,,75
MultiStartUnivariateOptimizer,96,,92
MultistepFieldIntegrator,91,,65
MultistepIntegrator,84,,57
MultivariateFunctionMappingAdapter,96,,82
MultivariateFunctionPenaltyAdapter,90,,70
MultivariateNormalDistribution,81,,83
MultivariateNormalMixtureExpectationMaximization,93,,83
MultivariateOptimizer,100,,100
MultivariateSummaryStatistics,100,,81
NaturalRanking,93,,93
NeighbourhoodSizeFunctionFactory,67,,100
NelderMeadSimplex,98,,93
Network,92,,84
Neuron,93,,91
NeuronSquareMesh2D,88,,93
NeuronString,91,,89
NevilleInterpolator,100,,100
NewtonRaphsonSolver,100,,86
NoBracketingException,67,,0
NonLinearConjugateGradientOptimizer,96,,93
NonMonotonicSequenceException,100,,56
NonNegativeConstraint,100,,100
NonPositiveDefiniteMatrixException,70,,0
NonSymmetricMatrixException,63,,0
NordsieckStepInterpolator,90,,91
NormalApproximationInterval,100,,100
NPointCrossover,95,,88
NullArgumentException,67,,0
NumberIsTooLargeException,100,,50
NumberIsTooSmallException,100,,75
ObjectiveFunction,100,,100
ObjectiveFunctionGradient,100,,100
OLSMultipleLinearRegression,100,,100
OnePointCrossover,90,,100
OneWayAnova,95,,83
OpenIntToDoubleHashMap,98,,82
OpenIntToFieldHashMap,95,,80
OpenMapRealMatrix,81,,76
OpenMapRealVector,92,,80
OptimumImpl,94,,91
OrderedCrossover,100,,71
OutOfRangeException,100,,100
Pair,89,,76
ParameterConfiguration,100,,100
ParameterizedWrapper,0,,0
ParameterJacobianWrapper,92,,80
PearsonsCorrelation,97,,94
Percentile,94,,92
PiecewiseBicubicSplineInterpolatingFunction,88,,75
PiecewiseBicubicSplineInterpolator,92,,80
PointValuePair,100,,100
PointVectorValuePair,87,,58
PolynomialCurveFitter,90,,86
PolynomialFunction,78,,73
PolynomialFunctionLagrangeForm,83,,88
PolynomialFunctionNewtonForm,87,,80
PolynomialSplineFunction,79,,78
PolynomialsUtils,97,,81
Pow,100,,100
PowellOptimizer,97,,53
Power,100,,100
PreconditionedIterativeLinearSolver,84,,57
Product,92,,88
PSquarePercentile,95,,94
QRDecomposition,100,,97
QuantizationError,0,,0
QuasiSigmoidDecayFunction,100,,91
RandomKey,94,,93
RandomKeyMutation,80,,100
RandomPivotingStrategy,29,,0
RandomUtils,92,,76
RealLinearOperator,33,,0
RealMatrixFormat,90,,76
RealVector,98,,84
RealVectorFormat,89,,75
RectangularCholeskyDecomposition,96,,96
RegressionResults,64,,61
Relationship,94,,50
ResizableDoubleArray,97,,77
RiddersSolver,89,,64
Rint,100,,100
RngAdaptor,58,,14
RombergIntegrator,84,,72
RotationOrder,100,,100
RRQRDecomposition,100,,84
RungeKuttaFieldIntegrator,97,,87
RungeKuttaFieldStepInterpolator,100,,100
RungeKuttaIntegrator,98,,89
RungeKuttaStepInterpolator,94,,87
SchurTransformer,99,,87
SearchInterval,87,,82
SecantSolver,83,,80
SecondMoment,87,,86
SemiVariance,65,,66
Sigmoid,100,,98
Signum,100,,100
SimpleBounds,100,,100
SimpleCurveFitter,81,,60
SimplePointChecker,100,,88
SimpleRegression,77,,76
SimpleUnivariateValueChecker,100,,86
SimpleValueChecker,100,,86
SimpleVectorValueChecker,100,,88
SimplexOptimizer,98,,100
SimplexSolver,94,,78
SimplexTableau,94,,88
SimpsonIntegrator,93,,87
Sin,100,,100
Sinc,100,,78
SingularValueDecomposition,93,,83
Sinh,100,,100
Skewness,94,,84
SmoothedDataHistogram,0,,0
SobolSequenceGenerator,85,,78
SolutionCallback,100,,100
SparseFieldMatrix,45,,31
SparseFieldVector,74,,53
SparseGradient,98,,89
SpearmansCorrelation,95,,81
SplineInterpolator,100,,99
Sqrt,100,,100
StableRandomGenerator,75,,32
StandardDeviation,75,,56
StatisticalSummaryValues,100,,63
StatUtils,87,,81
StepFunction,100,,92
StepNormalizer,93,,79
StepNormalizerBounds,94,,100
StorelessBivariateCovariance,87,,89
StorelessCovariance,75,,75
Subtract,100,,100
Sum,89,,84
SummaryStatistics,87,,54
SumOfClusterVariances,100,,100
SumOfLogs,90,,81
SumOfSquares,90,,83
SymmetricGaussIntegrator,100,,90
SymmLQ,92,,73
SynchronizedDescriptiveStatistics,87,,76
SynchronizedMultivariateSummaryStatistics,100,,100
SynchronizedRandomGenerator,67,,75
SynchronizedSummaryStatistics,52,,58
Tan,100,,100
Tanh,100,,100
ThirdMoment,100,,90
ThreeEighthesFieldIntegrator,100,,100
ThreeEighthesFieldStepInterpolator,100,,100
ThreeEighthesStepInterpolator,100,,100
TooManyEvaluationsException,100,,0
TooManyIterationsException,100,,0
TopographicErrorHistogram,0,,0
TournamentSelection,72,,78
TransformerMap,78,,61
TransformUtils,68,,62
TrapezoidIntegrator,86,,82
TricubicInterpolatingFunction,93,,89
TricubicInterpolator,98,,90
TriDiagonalTransformer,99,,98
Ulp,100,,100
UncorrelatedRandomVectorGenerator,94,,100
UnifiedDistanceMatrix,0,,0
UniformCrossover,96,,87
UniformRandomGenerator,100,,100
UnivariateObjectiveFunction,100,,100
UnivariateOptimizer,100,,100
UnivariatePeriodicInterpolator,100,,85
UnivariatePointValuePair,100,,100
UnivariateSolverUtils,70,,56
UnknownParameterException,100,,100
Variance,91,,74
VectorialCovariance,75,,62
VectorialMean,74,,68
WeightedObservedPoint,100,,100
WeightedObservedPoints,100,,100
WilsonScoreInterval,100,,100
