Class Name,Line Coverage,Branch Coverage,Mutation Score
MullerSolver,93,86.11111,60
MullerSolver2,89,75,74
MultiDimensionMismatchException,60,0,50
MultiDirectionalSimplex,96,100,94
MultiKMeansPlusPlusClusterer,84,100,50
Multiply,100,0,100
MultiStartMultivariateOptimizer,100,0,75
MultiStartUnivariateOptimizer,96,90,92
MultistepFieldIntegrator,91,87.5,65
MultistepIntegrator,84,50,57
MultivariateFunctionMappingAdapter,96,88.88889,82
MultivariateFunctionPenaltyAdapter,90,85,70
MultivariateNormalDistribution,81,75,83
MultivariateNormalMixtureExpectationMaximization,93,94.44444,83
MultivariateOptimizer,100,100,100
MultivariateSummaryStatistics,100,81.818184,81
NaturalRanking,93,96.42857,93
NeighbourhoodSizeFunctionFactory,67,0,100
NelderMeadSimplex,98,96.875,93
Network,92,81.25,84
Neuron,93,83.33333,91
NeuronSquareMesh2D,88,93.28859,93
NeuronString,91,81.818184,89
NevilleInterpolator,100,0,100
NewtonRaphsonSolver,100,100,86
NoBracketingException,67,0,0
NonLinearConjugateGradientOptimizer,96,84.84849,93
NonMonotonicSequenceException,100,100,56
NonNegativeConstraint,100,0,100
NonPositiveDefiniteMatrixException,70,0,0
NonSymmetricMatrixException,63,0,0
NordsieckStepInterpolator,90,71.05263,91
NormalApproximationInterval,100,0,100
NPointCrossover,95,93.75,88
NullArgumentException,67,0,0
NumberIsTooLargeException,100,100,50
NumberIsTooSmallException,100,100,75
ObjectiveFunction,100,0,100
ObjectiveFunctionGradient,100,0,100
OLSMultipleLinearRegression,100,100,100
OnePointCrossover,90,70,100
OneWayAnova,95,90,83
OpenIntToDoubleHashMap,98,100,82
OpenIntToFieldHashMap,95,100,80
OpenMapRealMatrix,81,82.14286,76
OpenMapRealVector,92,94.354836,80
OptimumImpl,94,0,91
OrderedCrossover,100,100,71
OutOfRangeException,100,0,100
Pair,89,75,76
ParameterConfiguration,100,0,100
ParameterizedWrapper,0,0,0
ParameterJacobianWrapper,92,75,80
PearsonsCorrelation,97,90,94
Percentile,94,93.333336,92
PiecewiseBicubicSplineInterpolatingFunction,88,69.230774,75
PiecewiseBicubicSplineInterpolator,92,71.42857,80
PointValuePair,100,66.66667,100
PointVectorValuePair,87,58.333332,58
PolynomialCurveFitter,90,75,86
PolynomialFunction,78,74.19355,73
PolynomialFunctionLagrangeForm,83,91.17647,88
PolynomialFunctionNewtonForm,87,83.33333,80
PolynomialSplineFunction,79,63.333332,78
PolynomialsUtils,97,100,81
Pow,100,0,100
PowellOptimizer,97,88.88889,53
Power,100,0,100
PreconditionedIterativeLinearSolver,84,100,57
Product,92,75,88
PSquarePercentile,95,91.30435,94
QRDecomposition,100,100,97
QuantizationError,0,0,0
QuasiSigmoidDecayFunction,100,100,91
RandomKey,94,90.625,93
RandomKeyMutation,80,50,100
RandomPivotingStrategy,29,0,0
RandomUtils,92,0,76
RealLinearOperator,33,0,0
RealMatrixFormat,90,93.181816,76
RealVector,98,100,84
RealVectorFormat,89,100,75
RectangularCholeskyDecomposition,96,92.85714,96
RegressionResults,64,51.724136,61
Relationship,94,100,50
ResizableDoubleArray,97,91.25,77
RiddersSolver,89,75,64
Rint,100,0,100
RngAdaptor,58,100,14
RombergIntegrator,84,66.66667,72
RotationOrder,100,0,100
RRQRDecomposition,100,95,84
RungeKuttaFieldIntegrator,97,97.5,87
RungeKuttaFieldStepInterpolator,100,100,100
RungeKuttaIntegrator,98,97.72727,89
RungeKuttaStepInterpolator,94,76.666664,87
SchurTransformer,99,92.22222,87
SearchInterval,87,50,82
SecantSolver,83,90,80
SecondMoment,87,100,86
SemiVariance,65,100,66
Sigmoid,100,100,98
Signum,100,0,100
SimpleBounds,100,0,100
SimpleCurveFitter,81,100,60
SimplePointChecker,100,83.33333,88
SimpleRegression,77,64.51613,76
SimpleUnivariateValueChecker,100,90,86
SimpleValueChecker,100,90,86
SimpleVectorValueChecker,100,91.66667,88
SimplexOptimizer,98,83.33333,100
SimplexSolver,94,95.3125,78
SimplexTableau,94,92.253525,88
SimpsonIntegrator,93,90,87
Sin,100,0,100
Sinc,100,92.30769,78
SingularValueDecomposition,93,89.67391,83
Sinh,100,0,100
Skewness,94,87.5,84
SmoothedDataHistogram,0,0,0
SobolSequenceGenerator,85,85.71429,78
SolutionCallback,100,100,100
SparseFieldMatrix,45,20,31
SparseFieldVector,74,67.85714,53
SparseGradient,98,94.64286,89
SpearmansCorrelation,95,78.57143,81
SplineInterpolator,100,100,99
Sqrt,100,0,100
StableRandomGenerator,75,79.16667,32
StandardDeviation,75,0,56
StatisticalSummaryValues,100,68.75,63
StatUtils,87,76.666664,81
StepFunction,100,100,92
StepNormalizer,93,97.05882,79
StepNormalizerBounds,94,0,100
StorelessBivariateCovariance,87,50,89
StorelessCovariance,75,68.181816,75
Subtract,100,0,100
Sum,89,75,84
SummaryStatistics,87,68.333336,54
SumOfClusterVariances,100,83.33333,100
SumOfLogs,90,75,81
SumOfSquares,90,75,83
SymmetricGaussIntegrator,100,100,90
SymmLQ,92,80,73
SynchronizedDescriptiveStatistics,87,0,76
SynchronizedMultivariateSummaryStatistics,100,0,100
SynchronizedRandomGenerator,67,0,75
SynchronizedSummaryStatistics,52,0,58
Tan,100,0,100
Tanh,100,0,100
ThirdMoment,100,100,90
ThreeEighthesFieldIntegrator,100,100,100
ThreeEighthesFieldStepInterpolator,100,75,100
ThreeEighthesStepInterpolator,100,87.5,100
TooManyEvaluationsException,100,0,0
TooManyIterationsException,100,0,0
TopographicErrorHistogram,0,0,0
TournamentSelection,72,75,78
TransformerMap,78,60.000004,61
TransformUtils,68,57.14286,62
TrapezoidIntegrator,86,71.42857,82
TricubicInterpolatingFunction,93,76.08696,89
TricubicInterpolator,98,80,90
TriDiagonalTransformer,99,100,98
Ulp,100,0,100
UncorrelatedRandomVectorGenerator,94,75,100
UnifiedDistanceMatrix,0,0,0
UniformCrossover,96,100,87
UniformRandomGenerator,100,0,100
UnivariateObjectiveFunction,100,0,100
UnivariateOptimizer,100,100,100
UnivariatePeriodicInterpolator,100,100,85
UnivariatePointValuePair,100,0,100
UnivariateSolverUtils,70,72.05882,56
UnknownParameterException,100,0,100
Variance,91,69.565216,74
VectorialCovariance,75,67.85714,62
VectorialMean,74,75,68
WeightedObservedPoint,100,0,100
WeightedObservedPoints,100,0,100
WilsonScoreInterval,100,0,100
